date,actualbtc,forecastbtc,5cibtc,95cibtc,actualeth,forecasteth,5cieth,95cieth,actualyfi,forecastyfi,5ciyfi,95ciyfi
2023-09-18,26520.98825,,26520.98825,26520.98825,1636.63,,,,5374.949518,,,
2023-09-19,26741.46111,,26741.46111,26741.46111,1643.70,,,,5451.894767,,,
2023-09-20,27219.29687,,27219.29687,27219.29687,1621.53,,,,5454.083202,,,
2023-09-21,27115.84645,,27115.84645,27115.84645,1583.82,,,,5344.414907,,,
2023-09-22,26561.13345,,26561.13345,26561.13345,1593.47,,,,5103.983117,,,
2023-09-23,26572.03811,,26572.03811,26572.03811,1593.18,,,,5152.283973,,,
2023-09-24,26573.92348,,26573.92348,26573.92348,1580.48,,,,5166.653343,,,
2023-09-25,26249.5629,,26249.5629,26249.5629,1588.47,,,,5110.675943,,,
2023-09-26,26298.63468,,26298.63468,26298.63468,1592.49,,,,5223.777922,,,
2023-09-27,26204.75759,,26204.75759,26204.75759,1597.42,,,,5194.847339,,,
2023-09-28,26350.1469,,26350.1469,26350.1469,1652.20,,,,5165.610307,,,
2023-09-29,27009.01375,,27009.01375,27009.01375,1667.99,,,,5230.047485,,,
2023-09-30,26917.1991,,26917.1991,26917.1991,1671.00,,,,5191.191606,,,
2023-10-01,26969.87614,,26969.87614,26969.87614,1733.82,,1733.82,1733.82,5241.73803,,5241.73803,5241.73803
2023-10-02,27967.51058,27711.71,26182.76,28587.92,1665.28,1698,1580.043,1843.524,5561.570895,5588.411,4890.411,6287.411
2023-10-03,27615.06489,27605.03,24649.12,29604.66,1656.32,1678.941,1508.581,1901.24,5244.445368,5297.234,4546.234,6048.234
2023-10-04,27439.12195,27442.21,25079.04,30492.22,1648.19,1690.856,1499.207,1925.564,5222.140588,5326.307,4514.307,6138.307
